sim,seed,survived,tracking_error_mean,base_height_dev_mean,feet_force_rms,episode_seconds,fall_timestep
mjx,0,True,0.1811011801958084,0.021630130350589753,62.488171229521434,30.0,-1
mjx,1,True,0.18794451908270518,0.022734199265638987,62.0027101559639,30.0,-1
mjx,2,True,0.17681639929612478,0.021914509971936544,57.75976327482859,30.0,-1
mjx,3,True,0.18149832546710967,0.022191813151041666,61.236867107391355,30.0,-1
mjx,4,False,0.20641425043567055,0.02268350842609263,60.13711314248294,29.46,1472
mjx,5,True,0.18731500637531281,0.02298371116320292,59.631949436505636,30.0,-1
mjx,6,True,0.17781326166788736,0.02227842132250468,59.52862330341339,30.0,-1
mjx,7,True,0.18129496852556864,0.022740521311759947,60.02522904761632,30.0,-1
mjx,8,True,0.19187547218799592,0.022245376368363698,60.88310973103841,30.0,-1
mjx,9,True,0.19341778123378753,0.022530935247739158,58.40449430116018,30.0,-1
mjx,10,True,0.1930171494881312,0.023313702166080474,61.67247587966919,30.0,-1
mjx,11,True,0.17850220886866253,0.02154417419433594,61.40819433307648,30.0,-1
mjx,12,True,0.1839511986573537,0.023243788520495096,60.04711659113566,30.0,-1
mjx,13,True,0.17149821384747824,0.020820185323556263,60.55488685925802,30.0,-1
mjx,14,True,0.18278944770495098,0.022611123541990914,60.89959006579717,30.0,-1
mjx,15,True,0.17449589224656423,0.02222473398844401,59.151151365915936,30.0,-1
mjx,16,True,0.18578566936651866,0.02150303504864375,59.01039059909185,30.0,-1
mjx,17,True,0.17536278820037843,0.02099390463034312,59.84884490553538,30.0,-1
mjx,18,True,0.1800223704179128,0.021983991781870525,58.00725139554341,30.0,-1
mjx,19,True,0.18735647169748942,0.021388586322466534,61.99722712310155,30.0,-1
mjx,20,True,0.18622395634651184,0.021140935560067495,60.49231448141734,30.0,-1
mjx,21,True,0.1803935048977534,0.023249711712201436,61.54120107301076,30.0,-1
mjx,22,True,0.18846846028168995,0.02190153620640437,58.948014022827145,30.0,-1
mjx,23,True,0.1783613075017929,0.02227786229054133,59.608168673674264,30.0,-1
mjx,24,True,0.17401442364851633,0.022174231231212618,63.12057841587067,30.0,-1
mjx,25,True,0.17597681323687236,0.02215125834941864,60.55298405774435,30.0,-1
mjx,26,True,0.17756945192813872,0.021336718022823335,59.43553786500295,30.0,-1
mjx,27,True,0.17333219174544018,0.0211359232266744,59.13561233329773,30.0,-1
mjx,28,True,0.17384455931186676,0.02219805586338043,61.97198924509684,30.0,-1
mjx,29,True,0.17913392277558646,0.0213624879916509,60.45667285617193,30.0,-1
mjx,30,True,0.1881105234225591,0.022700150310993195,59.23526611502965,30.0,-1
mjx,31,True,0.17919418100516002,0.022507257839043934,62.82209906832377,30.0,-1
mjx,32,True,0.17494119509061176,0.02161481579144796,61.09666968027751,30.0,-1
mjx,33,True,0.18886271047592162,0.024198947072029114,60.36119112586975,30.0,-1
mjx,34,True,0.18123798930644988,0.0216700931986173,61.09429408327738,30.0,-1
mjx,35,True,0.1823958551088969,0.02328534452120463,58.750939286867776,30.0,-1
mjx,36,True,0.18537707988421123,0.021041955014069875,59.73779169114431,30.0,-1
mjx,37,True,0.17692810793717703,0.021648260752360027,60.49397157541911,30.0,-1
mjx,38,True,0.1760215388139089,0.020627614200115205,61.80549667660395,30.0,-1
mjx,39,True,0.18873575806617737,0.02207178165515264,60.694018306096396,30.0,-1
mjx,40,True,0.19244593930244447,0.022049452304840088,63.97001825809479,30.0,-1
mjx,41,True,0.18091663845380146,0.022979940632979076,59.41348605283101,30.0,-1
mjx,42,True,0.18443455799420674,0.024237651884555816,60.65455120627085,30.0,-1
mjx,43,True,0.17888207280635834,0.022090354164441425,61.75505437882741,30.0,-1
mjx,44,True,0.19532223669687906,0.022727966169516247,61.74555591662725,30.0,-1
mjx,45,True,0.19012731746832529,0.02254619135459264,60.09504197883606,30.0,-1
mjx,46,True,0.18614599132537843,0.022200008928775786,61.94404430214564,30.0,-1
mjx,47,True,0.18563495194911958,0.022541699826717377,60.76423345375061,30.0,-1
mjx,48,True,0.18442184154192606,0.02196960256497065,58.98478546396891,30.0,-1
mjx,49,True,0.1793965253829956,0.022455844283103942,59.64574178504944,30.0,-1
mjx,50,True,0.17242055769761402,0.021865744630495707,59.81386143811544,30.0,-1
mjx,51,True,0.1949715121984482,0.023257899443308513,60.50072194226583,30.0,-1
mjx,52,True,0.18575574092070263,0.02263502448797226,59.97424929730097,30.0,-1
mjx,53,True,0.1722321062485377,0.02087720912694931,58.923818842887876,30.0,-1
mjx,54,False,0.18003274692687704,0.02287336082622312,58.876588723342955,21.54,1076
mjx,55,True,0.18150764004389444,0.021899544060230255,57.83997667805354,30.0,-1
mjx,56,True,0.17778205315272014,0.022607549945513408,59.56081322320302,30.0,-1
mjx,57,True,0.18158232259750368,0.021958325922489166,62.082673995018006,30.0,-1
mjx,58,True,0.17929523078600565,0.021392971575260163,60.12316691080729,30.0,-1
mjx,59,True,0.16821670790513357,0.021663390119870504,57.84627029418945,30.0,-1
mjx,60,True,0.19926459757486978,0.023441163976987204,60.738417191664375,30.0,-1
mjx,61,True,0.1816239479780197,0.023986272156238556,60.59300749349594,30.0,-1
mjx,62,True,0.19186942068735757,0.022100556055704754,56.277438610076906,30.0,-1
mjx,63,True,0.18356420755386352,0.022046234448750812,61.32221367200216,30.0,-1
mjx,64,True,0.18110323047637938,0.022195195456345875,59.99945054531097,30.0,-1
mjx,65,True,0.18149194475015004,0.020938848634560903,60.33961813131968,30.0,-1
mjx,66,True,0.18250123210748037,0.021880711913108825,61.96465956878662,30.0,-1
mjx,67,True,0.17458367562294005,0.021399117608865103,60.08381259981791,30.0,-1
mjx,68,True,0.17692255369822185,0.021114682694276174,60.60048174794515,30.0,-1
mjx,69,True,0.17978070187568665,0.020739305357138315,63.535236652215325,30.0,-1
mjx,70,True,0.17202305229504902,0.02249571700890859,59.49872903696696,30.0,-1
mjx,71,True,0.175367107907931,0.021620179613431295,60.08086577701569,30.0,-1
mjx,72,True,0.17838969139258068,0.02085828838745753,60.419989663759864,30.0,-1
mjx,73,True,0.18061916299661002,0.022366090178489687,59.96611282475789,30.0,-1
mjx,74,True,0.17530907674630483,0.022343716124693554,60.5624834206899,30.0,-1
mjx,75,True,0.1767623070081075,0.021761501570542654,60.26740130710602,30.0,-1
mjx,76,True,0.18536131691932678,0.021581513365109762,60.553024395306906,30.0,-1
mjx,77,True,0.17910994231700897,0.022042918105920156,61.36134772809346,30.0,-1
mjx,78,True,0.17228393936157227,0.021798396627108255,59.135035157521564,30.0,-1
mjx,79,True,0.1785553598801295,0.02223978155851364,61.27206719970703,30.0,-1
mjx,80,True,0.18164901693662008,0.021399080018202465,63.88137326908112,30.0,-1
mjx,81,True,0.19168241039911907,0.022006373941898347,59.89119019031525,30.0,-1
mjx,82,True,0.17905491439501445,0.023048939724763233,59.632944065729774,30.0,-1
mjx,83,True,0.18385295848051708,0.021512250661849974,59.884612055619556,30.0,-1
mjx,84,True,0.17673855566978455,0.02250684593121211,59.67154393513997,30.0,-1
mjx,85,True,0.1788735359509786,0.022023240466912588,62.51337550989787,30.0,-1
mjx,86,True,0.17571237341562906,0.021914903859297435,58.41854934501648,30.0,-1
mjx,87,True,0.18116482015450797,0.019507182558377585,60.15658184337616,30.0,-1
mjx,88,True,0.18692489556471506,0.02034683612982432,63.051409849007925,30.0,-1
mjx,89,True,0.1779681427081426,0.0224460445245107,63.08307919216156,30.0,-1
mjx,90,True,0.1794890127579371,0.021101290504137674,58.67590572802226,30.0,-1
mjx,91,True,0.1845048310359319,0.022061073740323383,59.152928791244825,30.0,-1
mjx,92,True,0.1788845184246699,0.02292091812690099,60.317032702763875,30.0,-1
mjx,93,True,0.1854968850215276,0.022242833216985065,60.84667252063751,30.0,-1
mjx,94,True,0.1803073895374934,0.022291355113188426,61.02007613213857,30.0,-1
mjx,95,True,0.18319972097873688,0.02312662297487259,59.48444986279806,30.0,-1
mjx,96,True,0.185496471007665,0.02220499974489212,59.03277566337585,30.0,-1
mjx,97,True,0.17425634328524273,0.02233064158757528,59.840588700930276,30.0,-1
mjx,98,True,0.18948441362380983,0.021755040546258292,62.4857777261734,30.0,-1
mjx,99,True,0.18583281509081523,0.02219369101524353,61.1954882405599,30.0,-1
mujoco_cpu,0,True,0.08761067619487871,0.024422898216488537,47.7162974864245,30.0,-1
mujoco_cpu,1,True,0.08670005686727181,0.024388692403649458,47.49598412807781,30.0,-1
mujoco_cpu,2,False,0.8686716992177438,0.028856018821083587,70.45581695664049,1.36,67
mujoco_cpu,3,True,0.09648258883636524,0.022861382527613824,47.44840142354224,30.0,-1
mujoco_cpu,4,False,0.8923127164463043,0.03443989600073264,70.56026008567237,1.42,70
mujoco_cpu,5,False,0.9138474318684158,0.035116554237343646,68.774049888771,1.6400000000000001,81
mujoco_cpu,6,True,0.09076343045191997,0.02362932008145214,47.506618265787516,30.0,-1
mujoco_cpu,7,True,0.09077280914137618,0.023144949695509977,47.76994251564353,30.0,-1
mujoco_cpu,8,True,0.11327612572287453,0.022367026622970906,47.885269015587795,30.0,-1
mujoco_cpu,9,True,0.0889104880889585,0.023546712537809156,47.422516420056645,30.0,-1
mujoco_cpu,10,False,0.8974225520602872,0.03210298218191492,73.55248526092197,1.6400000000000001,81
mujoco_cpu,11,True,0.09401810688366002,0.02122657584484565,47.21834776081366,30.0,-1
mujoco_cpu,12,True,0.08598281082854191,0.02205821364760045,47.46967188401415,30.0,-1
mujoco_cpu,13,False,0.9104569508435562,0.03478912776079229,72.07935203878547,1.6400000000000001,81
mujoco_cpu,14,True,0.10012198567038717,0.023956670889603515,47.49178392057514,30.0,-1
mujoco_cpu,15,True,0.08768751628015106,0.023260761757562805,47.73148873379097,30.0,-1
mujoco_cpu,16,True,0.08904570141149097,0.02326675334186927,47.75036500335387,30.0,-1
mujoco_cpu,17,False,0.889929860138697,0.030560773809720946,76.68044697575164,1.5,74
mujoco_cpu,18,True,0.08418034066174147,0.024451113104904058,47.531529964379956,30.0,-1
mujoco_cpu,19,False,0.295025810581699,0.053245434220120666,56.14765778644059,0.74,36
mujoco_cpu,20,True,0.08858434615012017,0.023174558089842173,47.346383632013925,30.0,-1
mujoco_cpu,21,True,0.08825812772274584,0.023084415704187795,47.47207204610517,30.0,-1
mujoco_cpu,22,False,0.8989880241088626,0.030557765215543573,68.653538056336,1.6400000000000001,81
mujoco_cpu,23,False,0.9033404222374022,0.034756996284841385,67.36180389486135,1.54,76
mujoco_cpu,24,True,0.08654382454585123,0.02282156834828771,47.62482954016638,30.0,-1
mujoco_cpu,25,False,0.9173551444162851,0.02752683523066804,70.45483531037802,1.62,80
mujoco_cpu,26,True,0.0930090162730671,0.023150055817864577,47.395762442480155,30.0,-1
mujoco_cpu,27,True,0.0880341627167733,0.024267930800752506,47.27201590536339,30.0,-1
mujoco_cpu,28,True,0.08803490782757241,0.023459302974686347,47.710030017399674,30.0,-1
mujoco_cpu,29,True,0.09394826046838964,0.021087666887526023,47.13987261078383,30.0,-1
mujoco_cpu,30,False,0.9155306814089067,0.030473689048672065,66.58864854574769,1.6600000000000001,82
mujoco_cpu,31,False,0.9273829340395432,0.03535190972940861,79.93036390465764,2.0,99
mujoco_cpu,32,False,0.9078077056131354,0.032865526405311665,68.23846959719897,1.76,87
mujoco_cpu,33,True,0.09697784887144699,0.023875445732826947,47.539663780614326,30.0,-1
mujoco_cpu,34,True,0.1001175037912959,0.02296382756668314,47.7627994934442,30.0,-1
mujoco_cpu,35,True,0.08722220018878706,0.023065991456467705,47.586155576756745,30.0,-1
mujoco_cpu,36,False,0.908223666058604,0.030491444827859905,65.71307543489726,1.72,85
mujoco_cpu,37,False,0.9030518490338,0.034658627642255045,67.7762077797588,1.54,76
mujoco_cpu,38,True,0.08844074541191546,0.02305075105400725,47.62499199271495,30.0,-1
mujoco_cpu,39,False,0.8896006905921392,0.036984352228005904,68.93254361439617,1.48,73
mujoco_cpu,40,False,0.9027662853297619,0.03445668401058836,68.09558383821519,1.54,76
mujoco_cpu,41,False,0.9176504637620378,0.03703856428132329,69.90297876400925,1.78,88
mujoco_cpu,42,True,0.08980676743717776,0.024292190015573114,47.21574112015913,30.0,-1
mujoco_cpu,43,True,0.08914129379118803,0.022448320529087382,47.72213338494493,30.0,-1
mujoco_cpu,44,True,0.08967294485126923,0.02297859506461638,47.42334444209183,30.0,-1
mujoco_cpu,45,False,0.8990450893110269,0.03462427847208303,67.35544801091588,1.52,75
mujoco_cpu,46,False,0.9408363420903004,0.03305892892761232,76.77686682349095,2.02,100
mujoco_cpu,47,False,0.9035548289053799,0.035059818526928584,68.423548597918,1.58,78
mujoco_cpu,48,True,0.08069945118301171,0.02349485763567312,47.38124505990277,30.0,-1
mujoco_cpu,49,True,0.09027230025416623,0.024091317374255,47.51989746539705,30.0,-1
mujoco_cpu,50,True,0.08582169701852742,0.02436527965898208,47.85421599369842,30.0,-1
mujoco_cpu,51,False,0.9363285106662037,0.02879387235921445,68.68320491081315,1.86,92
mujoco_cpu,52,False,0.901516145131898,0.034779182103575126,67.17630808847869,1.54,76
mujoco_cpu,53,True,0.08528188739720323,0.02182069787996224,47.39708588303678,30.0,-1
mujoco_cpu,54,False,0.9200044187657367,0.03249859141139988,67.52327908885688,1.82,90
mujoco_cpu,55,True,0.08637551331732639,0.024758933225806197,47.744065651388055,30.0,-1
mujoco_cpu,56,True,0.09102307744963756,0.023413606425050304,47.3896206577212,30.0,-1
mujoco_cpu,57,True,0.08852040216988918,0.02357471838022144,47.53140254294923,30.0,-1
mujoco_cpu,58,False,0.4352507801133662,0.05299501560468899,54.92457623820134,0.8,39
mujoco_cpu,59,True,0.08230173805702806,0.023872565601917084,47.67550736069018,30.0,-1
mujoco_cpu,60,True,0.08631832707315192,0.023928428715988673,47.72394775404552,30.0,-1
mujoco_cpu,61,True,0.08248042656992875,0.023996564372083973,47.968332656645224,30.0,-1
mujoco_cpu,62,True,0.08466792995323938,0.02452414128396036,47.619494992354674,30.0,-1
mujoco_cpu,63,True,0.08299597170692305,0.02335409259126381,47.60451956761739,30.0,-1
mujoco_cpu,64,False,0.8907684975396597,0.03396425237687124,71.81880695476517,1.3800000000000001,68
mujoco_cpu,65,True,0.0964684603363424,0.023294505149923556,47.23943761904943,30.0,-1
mujoco_cpu,66,False,0.9029864744650017,0.036046068573397705,70.5933262030788,1.6400000000000001,81
mujoco_cpu,67,False,0.9047722388468667,0.028394930816333052,69.5794976907139,1.62,80
mujoco_cpu,68,False,0.3182725508055883,0.054778414123431096,51.99344528107342,0.78,38
mujoco_cpu,69,False,0.9055879212358141,0.035323827401540636,67.05000755014838,1.54,76
mujoco_cpu,70,True,0.08935137578779813,0.02347384965961766,47.46091918530742,30.0,-1
mujoco_cpu,71,True,0.08516779929497346,0.023062259965377037,47.60594573080502,30.0,-1
mujoco_cpu,72,False,0.9340543302247983,0.02504317799434336,64.30379930975884,1.74,86
mujoco_cpu,73,True,0.0902772210289118,0.022250202509345604,47.63010668538626,30.0,-1
mujoco_cpu,74,True,0.08451430552913561,0.0236080650851617,47.54923549507505,30.0,-1
mujoco_cpu,75,False,0.8617864112146432,0.02831221151522988,70.88587732290651,1.5,74
mujoco_cpu,76,True,0.09019320294333116,0.023364337972124987,47.44198519817632,30.0,-1
mujoco_cpu,77,True,0.08720917691855161,0.024423788341552115,47.6457733401804,30.0,-1
mujoco_cpu,78,False,0.2980141507334091,0.053706577249504096,55.26820452707118,0.76,37
mujoco_cpu,79,False,0.932224178365772,0.034416325331933936,78.12796335075207,2.0,99
mujoco_cpu,80,False,0.9025059246967974,0.030706332406776643,62.9080946588343,1.54,76
mujoco_cpu,81,False,0.9164981861942946,0.03209257822772059,68.9804151727396,1.76,87
mujoco_cpu,82,False,0.9109874313884608,0.03766751072471241,71.82424876036774,1.74,86
mujoco_cpu,83,True,0.08671291789434925,0.022617851727884025,47.76100897349233,30.0,-1
mujoco_cpu,84,True,0.08709304608985517,0.022839210479881283,47.90322634336785,30.0,-1
